epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.7774,1.62187,1.7827,1.40323,0.51401,0.28418,0.20103,0.05576,2.5735,3.48286,2.45241,0.000415858,0.000415858,0.000415858
2,165.597,1.37046,1.09268,1.31385,0.35969,0.30258,0.25482,0.07079,2.58355,3.52427,2.37755,0.000750104,0.000750104,0.000750104
3,242.232,1.30396,0.98967,1.29126,0.36054,0.31743,0.27068,0.07762,2.58612,3.45675,2.3958,0.00100185,0.00100185,0.00100185
4,318.09,1.1995,0.89529,1.22524,0.36898,0.30049,0.26653,0.0759,2.63739,3.37429,2.5424,0.00087875,0.00087875,0.00087875
5,394.426,1.15618,0.83677,1.20927,0.37974,0.31943,0.27756,0.07929,2.61413,3.6092,2.65968,0.000755,0.000755,0.000755
6,469.855,1.08085,0.76664,1.16866,0.40265,0.34816,0.32335,0.09531,2.64263,3.50621,2.58879,0.00063125,0.00063125,0.00063125
7,545.502,1.03917,0.72112,1.14973,0.37556,0.32218,0.28315,0.07892,2.76098,3.57811,2.87236,0.0005075,0.0005075,0.0005075
8,620.256,0.97879,0.68056,1.11844,0.38021,0.31951,0.27722,0.07804,2.72192,3.63884,2.80057,0.00038375,0.00038375,0.00038375
9,694.382,0.94678,0.64635,1.09963,0.38213,0.32073,0.2873,0.08152,2.72721,3.75118,2.83366,0.00026,0.00026,0.00026
10,767.647,0.8995,0.60776,1.07647,0.37277,0.32362,0.28991,0.08364,2.75301,3.6812,2.92622,0.00013625,0.00013625,0.00013625
