epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8779,1.65038,1.81483,1.49215,0.68954,0.78602,0.80723,0.47296,1.29875,1.22667,1.31095,0.000415878,0.000415878,0.000415878
2,95.7841,1.44791,1.17757,1.42889,0.70425,0.77469,0.7711,0.46026,1.3517,0.97838,1.39729,0.00080507,0.00080507,0.00080507
3,141.282,1.39671,1.09521,1.40161,0.78642,0.83348,0.84124,0.51684,1.27659,0.85256,1.3436,0.00116676,0.00116676,0.00116676
4,186.144,1.33512,1.02517,1.36485,0.80578,0.83833,0.86889,0.56553,1.15033,0.79097,1.26583,0.00112625,0.00112625,0.00112625
5,231.072,1.26978,0.94418,1.32999,0.81126,0.87897,0.90077,0.61164,1.0979,0.68839,1.25243,0.001085,0.001085,0.001085
6,276.258,1.22893,0.91009,1.3055,0.81668,0.83219,0.87455,0.56862,1.14965,0.76501,1.28635,0.00104375,0.00104375,0.00104375
7,320.943,1.19153,0.87032,1.28212,0.74964,0.81199,0.82462,0.48448,1.35834,0.87489,1.40985,0.0010025,0.0010025,0.0010025
8,365.554,1.15733,0.83342,1.26686,0.85407,0.82854,0.88952,0.57521,1.1789,0.72462,1.27735,0.00096125,0.00096125,0.00096125
9,410.565,1.14785,0.82043,1.25396,0.80483,0.87492,0.89323,0.60442,1.07217,0.69389,1.22662,0.00092,0.00092,0.00092
10,455.442,1.12485,0.80163,1.24042,0.84864,0.88452,0.92208,0.6575,0.96995,0.61933,1.17219,0.00087875,0.00087875,0.00087875
11,500.12,1.08986,0.78377,1.22132,0.84237,0.86653,0.90792,0.63688,1.01221,0.6447,1.18411,0.0008375,0.0008375,0.0008375
12,544.841,1.08766,0.76933,1.21936,0.83814,0.88666,0.91102,0.61929,1.04398,0.6247,1.21193,0.00079625,0.00079625,0.00079625
13,589.705,1.04791,0.74176,1.20223,0.85191,0.88179,0.91587,0.62718,1.06324,0.61021,1.21841,0.000755,0.000755,0.000755
14,634.256,1.03359,0.72423,1.19805,0.85996,0.88593,0.92422,0.66892,0.95732,0.57245,1.16341,0.00071375,0.00071375,0.00071375
15,679.08,1.02053,0.71763,1.18226,0.86361,0.88004,0.93011,0.68155,0.94405,0.57431,1.15044,0.0006725,0.0006725,0.0006725
16,724.071,1.02459,0.69811,1.18708,0.86618,0.90425,0.92939,0.67722,0.94655,0.55988,1.15925,0.00063125,0.00063125,0.00063125
17,768.675,1.00912,0.70298,1.18217,0.85981,0.89116,0.91787,0.66225,0.96135,0.56998,1.15406,0.00059,0.00059,0.00059
18,813.517,0.9777,0.67058,1.16244,0.84927,0.90228,0.92942,0.68667,0.93938,0.55559,1.15752,0.00054875,0.00054875,0.00054875
19,858.613,0.95734,0.66965,1.14718,0.85998,0.90398,0.9329,0.68351,0.93305,0.53267,1.14491,0.0005075,0.0005075,0.0005075
20,903.34,0.94547,0.66038,1.14128,0.87258,0.89477,0.93455,0.69935,0.88253,0.52456,1.12147,0.00046625,0.00046625,0.00046625
21,949.078,0.88308,0.58129,1.11051,0.86933,0.90744,0.94201,0.70545,0.88578,0.5029,1.11973,0.000425,0.000425,0.000425
22,994.118,0.85517,0.56507,1.0912,0.87824,0.88992,0.94069,0.71385,0.86986,0.49735,1.11397,0.00038375,0.00038375,0.00038375
23,1039.09,0.83719,0.54906,1.07751,0.8577,0.90845,0.93779,0.69018,0.9213,0.51194,1.14617,0.0003425,0.0003425,0.0003425
24,1083.74,0.82227,0.5404,1.07809,0.85907,0.92043,0.94343,0.72369,0.84785,0.48823,1.09957,0.00030125,0.00030125,0.00030125
25,1128.85,0.80301,0.52447,1.06159,0.86879,0.91681,0.94236,0.72359,0.84182,0.47806,1.10404,0.00026,0.00026,0.00026
26,1173.49,0.79017,0.51623,1.05664,0.88682,0.90489,0.94758,0.72496,0.85008,0.47642,1.10084,0.00021875,0.00021875,0.00021875
27,1218.38,0.76859,0.50194,1.0437,0.89015,0.88849,0.94509,0.72397,0.8505,0.47769,1.09556,0.0001775,0.0001775,0.0001775
28,1263.25,0.75615,0.49202,1.03721,0.90103,0.88069,0.94734,0.73227,0.83487,0.46769,1.09592,0.00013625,0.00013625,0.00013625
29,1307.95,0.73634,0.47995,1.02387,0.89789,0.88893,0.94838,0.73695,0.82051,0.45555,1.08891,9.5e-05,9.5e-05,9.5e-05
30,1352.62,0.72064,0.46919,1.01858,0.88877,0.89359,0.94877,0.73917,0.81627,0.4565,1.08556,5.375e-05,5.375e-05,5.375e-05
