metric_type,index,folder,TP,FP,FN,precision,recall
summary,0,train3_val_set,2240,459,1288,0.829937013708781,0.6349206349206349
summary,1,train4_val_set,2413,549,1115,0.8146522619851452,0.6839569160997733
summary,2,train8_val_set,2310,481,1218,0.827660336796847,0.6547619047619048
summary,3,train13_val_set,2443,461,1085,0.8412534435261708,0.6924603174603174
per_class.0,0,train3_val_set,729,149,268,0.8302961275626424,0.7311935807422267
per_class.0,1,train4_val_set,741,213,256,0.7767295597484277,0.7432296890672017
per_class.0,2,train8_val_set,766,171,231,0.8175026680896478,0.7683049147442327
per_class.0,3,train13_val_set,786,171,211,0.8213166144200627,0.7883650952858575
per_class.1,0,train3_val_set,853,73,201,0.9211663066954644,0.8092979127134725
per_class.1,1,train4_val_set,828,126,226,0.8679245283018868,0.7855787476280834
per_class.1,2,train8_val_set,930,142,124,0.8675373134328358,0.8823529411764706
per_class.1,3,train13_val_set,970,111,84,0.8973172987974098,0.920303605313093
per_class.3,0,train3_val_set,658,237,819,0.735195530726257,0.44549763033175355
per_class.3,1,train4_val_set,844,210,633,0.8007590132827325,0.5714285714285714
per_class.3,2,train8_val_set,614,168,863,0.7851662404092071,0.41570751523358157
per_class.3,3,train13_val_set,687,179,790,0.7933025404157044,0.4651320243737305
