epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4204,1.66957,2.01364,1.52806,0.68541,0.32386,0.30375,0.09001,2.47215,3.36861,2.03181,0.000415913,0.000415913,0.000415913
2,117.403,1.47473,1.32594,1.39755,0.33258,0.33516,0.26539,0.08076,2.57446,3.2238,2.22452,0.000750154,0.000750154,0.000750154
3,172.892,1.41361,1.21424,1.35847,0.29202,0.39982,0.29279,0.08725,2.51886,3.16244,2.27573,0.0010019,0.0010019,0.0010019
4,228.136,1.3569,1.1279,1.33028,0.4826,0.42011,0.40474,0.12745,2.53953,2.95407,2.23895,0.00087875,0.00087875,0.00087875
5,283.408,1.29615,1.06332,1.29132,0.44032,0.3964,0.38614,0.12485,2.51064,3.06441,2.11473,0.000755,0.000755,0.000755
6,338.577,1.2393,0.97344,1.2612,0.46737,0.40795,0.41408,0.13007,2.5128,3.07414,2.23501,0.00063125,0.00063125,0.00063125
7,393.395,1.19007,0.90042,1.23514,0.42732,0.39176,0.38236,0.12144,2.59863,3.14826,2.40177,0.0005075,0.0005075,0.0005075
8,448.656,1.17681,0.85407,1.22334,0.42913,0.36518,0.36641,0.10726,2.5916,3.15143,2.32718,0.00038375,0.00038375,0.00038375
9,503.745,1.11724,0.8005,1.19262,0.45653,0.37694,0.37957,0.11104,2.65009,3.14792,2.42188,0.00026,0.00026,0.00026
10,558.817,1.08119,0.76266,1.16707,0.45702,0.38816,0.39032,0.11837,2.63243,3.12165,2.46381,0.00013625,0.00013625,0.00013625
