epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7621,1.50614,1.46186,1.42068,0.66295,0.7516,0.69623,0.39606,1.38297,1.21044,1.40317,0.000475768,0.000475768,0.000475768
2,153.073,1.45186,1.15957,1.43391,0.75814,0.78734,0.79167,0.4612,1.32644,1.05359,1.38071,0.000920682,0.000920682,0.000920682
3,225.807,1.41148,1.12153,1.41024,0.74537,0.81779,0.82216,0.47965,1.31929,0.9677,1.39717,0.00133416,0.00133416,0.00133416
4,298.25,1.38226,1.08578,1.4013,0.79451,0.86026,0.84872,0.51098,1.25031,0.89959,1.34631,0.00128753,0.00128753,0.00128753
5,370.666,1.35192,1.03577,1.37888,0.80934,0.8899,0.88284,0.52507,1.25865,0.89148,1.371,0.00124037,0.00124037,0.00124037
6,442.716,1.33316,1.00346,1.37334,0.82575,0.87303,0.87032,0.53091,1.21339,0.84183,1.36773,0.00119322,0.00119322,0.00119322
7,515.032,1.30734,0.96954,1.36207,0.81124,0.8522,0.85936,0.53131,1.23595,0.84187,1.37443,0.00114606,0.00114606,0.00114606
8,586.921,1.30126,0.95875,1.36703,0.83789,0.89509,0.89185,0.55106,1.2192,0.80645,1.38827,0.0010989,0.0010989,0.0010989
9,659.433,1.28393,0.93546,1.35403,0.83469,0.88749,0.88096,0.547,1.24506,0.78948,1.41456,0.00105174,0.00105174,0.00105174
10,731.432,1.27021,0.91903,1.35105,0.83236,0.90021,0.90083,0.56996,1.20543,0.77487,1.37172,0.00100459,0.00100459,0.00100459
11,803.79,1.25953,0.89706,1.34439,0.84829,0.89897,0.89895,0.57173,1.19217,0.75563,1.3939,0.00095743,0.00095743,0.00095743
12,875.941,1.25753,0.88281,1.34224,0.85238,0.9007,0.89632,0.57126,1.18934,0.75981,1.38604,0.000910273,0.000910273,0.000910273
13,947.973,1.24048,0.8777,1.32955,0.85156,0.90567,0.91381,0.58386,1.19412,0.72992,1.3623,0.000863116,0.000863116,0.000863116
14,1020.02,1.22904,0.85009,1.32445,0.8576,0.90465,0.90809,0.58597,1.18335,0.71891,1.35843,0.000815959,0.000815959,0.000815959
15,1092.24,1.22682,0.84643,1.33033,0.86088,0.90345,0.91326,0.5861,1.18852,0.70696,1.37172,0.000768802,0.000768802,0.000768802
16,1164.53,1.21259,0.82933,1.31852,0.85717,0.89405,0.90961,0.58737,1.18529,0.71741,1.33952,0.000721645,0.000721645,0.000721645
17,1236.92,1.21243,0.82656,1.31781,0.86621,0.90574,0.91309,0.59186,1.1878,0.70964,1.36326,0.000674488,0.000674488,0.000674488
18,1309.21,1.19931,0.81482,1.31383,0.86212,0.89699,0.91291,0.59735,1.17792,0.70846,1.36951,0.000627331,0.000627331,0.000627331
19,1381.47,1.18995,0.7954,1.3078,0.87031,0.90094,0.91793,0.60329,1.17149,0.68777,1.35045,0.000580174,0.000580174,0.000580174
20,1453.98,1.19432,0.78679,1.31793,0.8743,0.90373,0.9177,0.60009,1.1798,0.69145,1.35647,0.000533017,0.000533017,0.000533017
21,1526.96,1.14931,0.72886,1.28326,0.87109,0.91493,0.91723,0.60224,1.16307,0.67672,1.34929,0.00048586,0.00048586,0.00048586
22,1599.11,1.14384,0.71409,1.28033,0.87832,0.91291,0.92488,0.60811,1.17844,0.66083,1.36393,0.000438703,0.000438703,0.000438703
23,1671.54,1.1342,0.69752,1.27375,0.87345,0.913,0.92547,0.60499,1.19346,0.6577,1.37058,0.000391546,0.000391546,0.000391546
24,1743.92,1.12765,0.67745,1.27528,0.87236,0.91674,0.93057,0.61493,1.16909,0.65596,1.35432,0.000344389,0.000344389,0.000344389
25,1816.36,1.12299,0.66995,1.27257,0.87848,0.91703,0.92767,0.61204,1.16988,0.64165,1.35219,0.000297232,0.000297232,0.000297232
26,1888.72,1.10581,0.66323,1.2598,0.87654,0.91256,0.92662,0.61026,1.18523,0.63714,1.37419,0.000250075,0.000250075,0.000250075
27,1960.98,1.09457,0.64866,1.2536,0.8803,0.90645,0.92917,0.61485,1.18355,0.63223,1.37904,0.000202918,0.000202918,0.000202918
28,2033.12,1.0879,0.63635,1.24842,0.88938,0.90405,0.92963,0.61303,1.19227,0.62132,1.37697,0.000155761,0.000155761,0.000155761
29,2105.35,1.07871,0.62556,1.23835,0.88268,0.91009,0.92937,0.61159,1.18846,0.62503,1.37124,0.000108604,0.000108604,0.000108604
30,2177.44,1.06657,0.61911,1.22931,0.88177,0.91811,0.93134,0.61195,1.19013,0.61934,1.38072,6.1447e-05,6.1447e-05,6.1447e-05
