epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.002,1.53491,2.17793,1.37499,0.66927,0.76013,0.74882,0.41154,1.32835,1.46562,1.31376,0.00333249,0.00333249,0.00333249
2,676.555,1.51259,1.43049,1.40763,0.61656,0.76644,0.71463,0.40374,1.29805,1.42714,1.35157,0.00659983,0.00659983,0.00659983
3,1000.3,1.57227,1.49038,1.49166,0.65755,0.73627,0.71023,0.39758,1.25654,1.50514,1.33626,0.00980117,0.00980117,0.00980117
4,1321.76,1.56297,1.44254,1.51439,0.71028,0.77915,0.75414,0.43603,1.21829,1.45925,1.32439,0.009703,0.009703,0.009703
5,1643.03,1.49252,1.32799,1.48023,0.72258,0.79756,0.782,0.45928,1.18911,1.3744,1.33489,0.009604,0.009604,0.009604
6,1964.44,1.4456,1.28117,1.46695,0.71948,0.79542,0.78313,0.47074,1.16212,1.38795,1.32749,0.009505,0.009505,0.009505
7,2285.44,1.44366,1.23889,1.46954,0.73241,0.80767,0.79998,0.48473,1.14029,1.43121,1.30801,0.009406,0.009406,0.009406
8,2606.04,1.41703,1.19957,1.45184,0.73924,0.81027,0.80348,0.49315,1.14096,1.32072,1.32432,0.009307,0.009307,0.009307
9,2926.98,1.4061,1.17459,1.44489,0.7449,0.81826,0.80652,0.50094,1.12875,1.32697,1.30952,0.009208,0.009208,0.009208
10,3247.66,1.40296,1.17791,1.44977,0.74308,0.82496,0.80616,0.50359,1.12533,1.35326,1.31725,0.009109,0.009109,0.009109
11,3568.35,1.38977,1.15224,1.44788,0.75076,0.82521,0.81392,0.50989,1.12146,1.32545,1.31421,0.00901,0.00901,0.00901
12,3889.04,1.39429,1.15304,1.45324,0.75299,0.82553,0.81474,0.51138,1.12152,1.31904,1.31623,0.008911,0.008911,0.008911
13,4210.11,1.37988,1.10584,1.44978,0.74955,0.83184,0.81279,0.51009,1.12228,1.31213,1.3209,0.008812,0.008812,0.008812
14,4530.2,1.37058,1.11731,1.43492,0.7477,0.8335,0.81263,0.51135,1.11628,1.31125,1.31484,0.008713,0.008713,0.008713
15,4850.62,1.36662,1.10289,1.44368,0.75168,0.83223,0.81335,0.51227,1.11233,1.30849,1.31218,0.008614,0.008614,0.008614
16,5171.12,1.36212,1.08794,1.43793,0.75142,0.83321,0.81487,0.51434,1.11154,1.30632,1.31182,0.008515,0.008515,0.008515
17,5491.57,1.36131,1.09111,1.44002,0.75514,0.83314,0.81719,0.51491,1.11109,1.30476,1.31156,0.008416,0.008416,0.008416
18,5811.23,1.35961,1.09095,1.43931,0.75656,0.83294,0.81769,0.51547,1.11041,1.30696,1.31074,0.008317,0.008317,0.008317
19,6131.55,1.35483,1.0577,1.43918,0.75436,0.83332,0.81914,0.51672,1.11026,1.30424,1.31108,0.008218,0.008218,0.008218
20,6451.9,1.35357,1.05821,1.44154,0.75381,0.83416,0.81937,0.51797,1.11111,1.29708,1.31191,0.008119,0.008119,0.008119
