epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.972,1.53956,1.68667,1.31694,0.70245,0.78467,0.76706,0.44293,1.30279,1.04362,1.22405,0.00333133,0.00333133,0.00333133
2,296.004,1.45875,1.1975,1.3138,0.69949,0.77107,0.74722,0.42662,1.33582,1.16213,1.29246,0.00659868,0.00659868,0.00659868
3,439.155,1.50673,1.25898,1.37939,0.75097,0.79446,0.81283,0.44439,1.416,1.11587,1.3789,0.00980004,0.00980004,0.00980004
4,580.482,1.50407,1.22798,1.41615,0.76333,0.8304,0.83701,0.4754,1.34617,1.01276,1.36005,0.009703,0.009703,0.009703
5,721.705,1.45802,1.15666,1.40817,0.77097,0.81486,0.82161,0.47689,1.28662,1.0081,1.35818,0.009604,0.009604,0.009604
6,862.529,1.42997,1.09945,1.40013,0.7916,0.84256,0.85022,0.50126,1.26684,0.96818,1.37051,0.009505,0.009505,0.009505
7,1003.32,1.41432,1.0593,1.39983,0.80306,0.84291,0.84909,0.50594,1.25979,0.91851,1.36501,0.009406,0.009406,0.009406
8,1144.69,1.38784,1.03501,1.38156,0.79431,0.86988,0.86918,0.53309,1.23451,0.88976,1.34282,0.009307,0.009307,0.009307
9,1285.71,1.3748,1.00523,1.3754,0.79896,0.87782,0.86939,0.53441,1.23016,0.89474,1.33271,0.009208,0.009208,0.009208
10,1426.95,1.36739,0.989,1.3809,0.79655,0.87546,0.85791,0.52962,1.23844,0.88955,1.37281,0.009109,0.009109,0.009109
11,1567.71,1.36316,0.979,1.37958,0.81099,0.87717,0.87514,0.54118,1.2172,0.84595,1.33202,0.00901,0.00901,0.00901
12,1708.36,1.35352,0.96252,1.37297,0.82045,0.86883,0.88291,0.54936,1.20333,0.8547,1.32714,0.008911,0.008911,0.008911
13,1850.14,1.34499,0.95248,1.37224,0.81405,0.88821,0.88561,0.55132,1.21421,0.82696,1.35079,0.008812,0.008812,0.008812
14,1991.49,1.33191,0.94062,1.36797,0.8222,0.87864,0.8871,0.55514,1.20443,0.82032,1.36344,0.008713,0.008713,0.008713
15,2132.76,1.33509,0.92745,1.36957,0.8266,0.8828,0.8902,0.55939,1.19754,0.80892,1.34275,0.008614,0.008614,0.008614
16,2273.61,1.32434,0.93072,1.3607,0.82418,0.88374,0.89068,0.56312,1.18663,0.81965,1.33476,0.008515,0.008515,0.008515
17,2414.55,1.31996,0.90807,1.37396,0.82754,0.88884,0.88872,0.5613,1.19677,0.80439,1.35832,0.008416,0.008416,0.008416
18,2555.54,1.31379,0.90049,1.37201,0.82596,0.88575,0.89081,0.56565,1.19514,0.79861,1.36386,0.008317,0.008317,0.008317
19,2697.33,1.31606,0.89538,1.3686,0.82559,0.90268,0.89127,0.56776,1.19296,0.78283,1.35576,0.008218,0.008218,0.008218
20,2839.06,1.31532,0.89206,1.37152,0.82757,0.899,0.89276,0.57068,1.18603,0.78676,1.35253,0.008119,0.008119,0.008119
21,2980.18,1.30016,0.87595,1.36533,0.83149,0.8961,0.89855,0.578,1.18126,0.77009,1.35807,0.00802,0.00802,0.00802
22,3121.03,1.30211,0.86805,1.36601,0.82987,0.89711,0.90267,0.58298,1.1766,0.76239,1.35082,0.007921,0.007921,0.007921
23,3261.71,1.29426,0.86755,1.35761,0.82941,0.90215,0.89783,0.57721,1.1827,0.76659,1.35086,0.007822,0.007822,0.007822
24,3403.14,1.29822,0.85994,1.36593,0.8323,0.89989,0.90164,0.58164,1.18022,0.75904,1.35649,0.007723,0.007723,0.007723
25,3544.21,1.29381,0.84824,1.36127,0.83288,0.90288,0.90343,0.58417,1.18135,0.75072,1.36089,0.007624,0.007624,0.007624
26,3684.82,1.29477,0.85039,1.36164,0.83681,0.89867,0.90294,0.58451,1.18123,0.74313,1.3586,0.007525,0.007525,0.007525
27,3825.51,1.28652,0.83224,1.36247,0.83265,0.90147,0.90119,0.5839,1.17827,0.74081,1.36128,0.007426,0.007426,0.007426
28,3966.87,1.28537,0.82893,1.36467,0.83334,0.90501,0.90243,0.58341,1.18033,0.73697,1.36632,0.007327,0.007327,0.007327
29,4108.37,1.28439,0.81318,1.36705,0.83388,0.90396,0.90261,0.58573,1.18119,0.72977,1.36896,0.007228,0.007228,0.007228
30,4249.42,1.28163,0.81071,1.36649,0.83374,0.90259,0.90369,0.58769,1.18037,0.72376,1.37034,0.007129,0.007129,0.007129
31,4389.62,1.27488,0.81044,1.3582,0.83592,0.90402,0.90413,0.58876,1.18016,0.71979,1.37309,0.00703,0.00703,0.00703
32,4531.55,1.27629,0.8023,1.36581,0.83699,0.90462,0.90473,0.58963,1.17769,0.71271,1.37145,0.006931,0.006931,0.006931
33,4673.19,1.27725,0.79353,1.36524,0.83456,0.90417,0.90395,0.59133,1.17581,0.70815,1.3712,0.006832,0.006832,0.006832
34,4814.59,1.26121,0.78851,1.35264,0.83438,0.90419,0.90425,0.59145,1.17569,0.70621,1.37192,0.006733,0.006733,0.006733
35,4955.49,1.26069,0.77947,1.3496,0.83376,0.90425,0.90366,0.59173,1.17618,0.70414,1.37233,0.006634,0.006634,0.006634
36,5096.22,1.25826,0.77822,1.3528,0.83361,0.90615,0.90262,0.59098,1.17612,0.70219,1.37206,0.006535,0.006535,0.006535
37,5237.36,1.26019,0.77794,1.35556,0.83454,0.90642,0.90203,0.5916,1.17529,0.70003,1.37248,0.006436,0.006436,0.006436
38,5379.28,1.25287,0.76899,1.35772,0.83515,0.90589,0.90273,0.59256,1.17493,0.69732,1.37243,0.006337,0.006337,0.006337
39,5520.55,1.24581,0.76699,1.3535,0.8335,0.90559,0.90273,0.59344,1.17397,0.69669,1.3717,0.006238,0.006238,0.006238
40,5661.29,1.24612,0.75996,1.34787,0.83118,0.90673,0.90298,0.59435,1.17363,0.69508,1.37105,0.006139,0.006139,0.006139
41,5803.38,1.24257,0.75385,1.33942,0.83078,0.90679,0.90293,0.59446,1.17313,0.69257,1.37019,0.00604,0.00604,0.00604
42,5945.63,1.24022,0.74705,1.34309,0.83389,0.9048,0.90351,0.59508,1.17181,0.69219,1.36853,0.005941,0.005941,0.005941
43,6087.57,1.2375,0.74106,1.34263,0.8332,0.90467,0.90379,0.59593,1.17178,0.68956,1.36888,0.005842,0.005842,0.005842
44,6229.05,1.23351,0.73563,1.33791,0.83374,0.90579,0.90413,0.59614,1.17144,0.68813,1.36839,0.005743,0.005743,0.005743
45,6370.14,1.23106,0.73101,1.33828,0.83358,0.90641,0.9047,0.59648,1.17133,0.68761,1.36766,0.005644,0.005644,0.005644
46,6512.19,1.22803,0.72787,1.33493,0.8346,0.90577,0.90485,0.59655,1.17144,0.68649,1.36777,0.005545,0.005545,0.005545
47,6654.5,1.22282,0.7258,1.33154,0.83548,0.90564,0.90552,0.59655,1.17157,0.68612,1.36773,0.005446,0.005446,0.005446
48,6796.5,1.21716,0.71349,1.33097,0.83469,0.90778,0.90566,0.59698,1.17157,0.68409,1.368,0.005347,0.005347,0.005347
49,6937.52,1.2211,0.71588,1.33156,0.83294,0.90897,0.90522,0.59748,1.17139,0.68234,1.36799,0.005248,0.005248,0.005248
50,7078.43,1.22031,0.71347,1.33437,0.83305,0.90959,0.9054,0.59796,1.17151,0.68077,1.36839,0.005149,0.005149,0.005149
51,7219.47,1.2103,0.70248,1.32802,0.83332,0.90932,0.90651,0.59873,1.17125,0.67952,1.36784,0.00505,0.00505,0.00505
52,7362.12,1.20519,0.69924,1.32704,0.83338,0.90991,0.90686,0.59897,1.17116,0.67719,1.36807,0.004951,0.004951,0.004951
53,7504.65,1.21221,0.70179,1.33105,0.83378,0.90973,0.90713,0.59927,1.17106,0.67607,1.36787,0.004852,0.004852,0.004852
54,7646.54,1.20441,0.68435,1.326,0.83391,0.90984,0.90678,0.59978,1.17129,0.67432,1.36836,0.004753,0.004753,0.004753
55,7787.91,1.20088,0.68168,1.32441,0.83439,0.91011,0.90747,0.60019,1.17135,0.67232,1.36851,0.004654,0.004654,0.004654
56,7929.32,1.19919,0.6842,1.32451,0.83509,0.9104,0.90706,0.60076,1.17181,0.67045,1.3689,0.004555,0.004555,0.004555
57,8071.54,1.18237,0.66419,1.31496,0.83556,0.90943,0.90733,0.60117,1.17193,0.66796,1.36909,0.004456,0.004456,0.004456
58,8213.47,1.18117,0.66105,1.312,0.83647,0.90881,0.90778,0.6017,1.17204,0.66649,1.36936,0.004357,0.004357,0.004357
59,8354.77,1.18376,0.66228,1.3133,0.83313,0.91333,0.90764,0.60211,1.17239,0.66502,1.36944,0.004258,0.004258,0.004258
60,8495.73,1.18286,0.65874,1.31321,0.83369,0.91292,0.90798,0.60253,1.17307,0.66274,1.36981,0.004159,0.004159,0.004159
61,8638.03,1.17743,0.65604,1.30954,0.8343,0.91265,0.90886,0.60291,1.17331,0.66059,1.37003,0.00406,0.00406,0.00406
62,8780.53,1.17259,0.64916,1.30346,0.8346,0.91325,0.90936,0.60346,1.17352,0.65815,1.37032,0.003961,0.003961,0.003961
63,8922.42,1.16062,0.64094,1.29731,0.83835,0.9087,0.9098,0.60427,1.17365,0.65663,1.37037,0.003862,0.003862,0.003862
64,9064.11,1.1597,0.63506,1.30099,0.83794,0.91031,0.91004,0.60498,1.17386,0.65417,1.37069,0.003763,0.003763,0.003763
65,9205.3,1.15436,0.63467,1.29322,0.83787,0.91124,0.91031,0.6052,1.17349,0.65245,1.3697,0.003664,0.003664,0.003664
66,9348.81,1.1552,0.62728,1.29501,0.83776,0.91181,0.91093,0.6058,1.17377,0.6499,1.37012,0.003565,0.003565,0.003565
67,9492.26,1.14266,0.62163,1.28715,0.83851,0.91082,0.91109,0.60637,1.17383,0.64804,1.37017,0.003466,0.003466,0.003466
68,9635.25,1.14098,0.62173,1.28965,0.83949,0.91017,0.91147,0.60717,1.17399,0.64575,1.36996,0.003367,0.003367,0.003367
69,9777.39,1.13297,0.61366,1.28138,0.83904,0.91116,0.91132,0.60731,1.17465,0.64343,1.37096,0.003268,0.003268,0.003268
70,9918.97,1.12872,0.60503,1.28322,0.8433,0.90666,0.91156,0.60762,1.17507,0.64051,1.37156,0.003169,0.003169,0.003169
71,10060.3,1.1255,0.60613,1.27302,0.84449,0.90632,0.91199,0.60821,1.17538,0.63839,1.37137,0.00307,0.00307,0.00307
72,10202.9,1.11822,0.59709,1.27292,0.84374,0.90779,0.91261,0.60848,1.17578,0.63595,1.37164,0.002971,0.002971,0.002971
73,10344.9,1.10793,0.58784,1.26552,0.84503,0.90884,0.91324,0.609,1.1764,0.63324,1.37226,0.002872,0.002872,0.002872
74,10486.6,1.10537,0.58619,1.26322,0.84516,0.90936,0.91326,0.60945,1.17711,0.63139,1.37254,0.002773,0.002773,0.002773
75,10628.1,1.09598,0.58628,1.2568,0.84634,0.90948,0.91332,0.60952,1.17754,0.62959,1.37273,0.002674,0.002674,0.002674
76,10770.3,1.09926,0.57782,1.26156,0.84669,0.91177,0.91352,0.60949,1.17858,0.62675,1.37337,0.002575,0.002575,0.002575
77,10913.4,1.08906,0.57416,1.25406,0.84727,0.91121,0.91378,0.60977,1.17924,0.62546,1.37373,0.002476,0.002476,0.002476
78,11056.9,1.08026,0.5662,1.24807,0.84656,0.91181,0.91371,0.61047,1.17997,0.62306,1.37415,0.002377,0.002377,0.002377
