epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.961,1.72978,2.14889,1.52244,0.35796,0.40155,0.34131,0.1033,2.44272,3.10652,2.3365,0.000416184,0.000416184,0.000416184
2,211.426,1.57364,1.52679,1.48619,0.27233,0.34259,0.24711,0.06837,2.62393,3.47437,2.49475,0.000791624,0.000791624,0.000791624
3,312.683,1.49203,1.38372,1.4471,0.59059,0.35211,0.29478,0.08588,2.53267,3.28147,2.40681,0.00112581,0.00112581,0.00112581
4,411.784,1.41081,1.30768,1.39542,0.38771,0.34428,0.30581,0.08388,2.62645,3.42457,2.58108,0.00106437,0.00106437,0.00106437
5,510.621,1.34683,1.23075,1.35544,0.39036,0.3274,0.30698,0.09042,2.56303,3.45477,2.59174,0.0010025,0.0010025,0.0010025
6,609.818,1.29858,1.1634,1.32957,0.39906,0.32325,0.30962,0.08951,2.59711,3.58874,2.59262,0.000940625,0.000940625,0.000940625
7,710.612,1.27884,1.12713,1.31927,0.37922,0.34698,0.30577,0.08451,2.69255,3.57439,2.71112,0.00087875,0.00087875,0.00087875
8,809.171,1.24003,1.09514,1.30173,0.33971,0.33551,0.27949,0.07735,2.7321,3.60736,2.75272,0.000816875,0.000816875,0.000816875
9,908.594,1.20767,1.07364,1.28182,0.35537,0.35281,0.29426,0.08088,2.68396,3.60272,2.8325,0.000755,0.000755,0.000755
10,1008.14,1.18929,1.0432,1.27644,0.36886,0.32174,0.28545,0.08075,2.73099,3.53586,2.70879,0.000693125,0.000693125,0.000693125
11,1106.9,1.09223,0.94227,1.2132,0.37068,0.34628,0.30386,0.08804,2.71148,3.64115,2.84037,0.00063125,0.00063125,0.00063125
12,1204.63,1.06435,0.91699,1.2017,0.37056,0.33906,0.30467,0.08827,2.71461,3.86289,2.89985,0.000569375,0.000569375,0.000569375
13,1302.95,1.04279,0.91089,1.18751,0.38147,0.33139,0.30451,0.08695,2.72414,3.87981,2.91433,0.0005075,0.0005075,0.0005075
14,1401.7,1.02631,0.88473,1.17583,0.38307,0.30505,0.28085,0.07795,2.83284,3.8635,3.10957,0.000445625,0.000445625,0.000445625
15,1500.32,0.99231,0.85402,1.15783,0.36662,0.32646,0.28863,0.08121,2.74859,3.92023,3.0261,0.00038375,0.00038375,0.00038375
16,1599.02,0.96427,0.82838,1.14781,0.36081,0.31362,0.2763,0.07707,2.80339,3.9674,3.06444,0.000321875,0.000321875,0.000321875
17,1698.63,0.94273,0.80375,1.13712,0.36631,0.32459,0.28749,0.08118,2.78513,3.98156,3.09963,0.00026,0.00026,0.00026
18,1853.22,0.91667,0.79198,1.11956,0.37417,0.31898,0.29116,0.08029,2.80476,4.05893,3.21015,0.000198125,0.000198125,0.000198125
19,2006.79,0.90385,0.77054,1.11043,0.38722,0.3036,0.28917,0.08066,2.82384,4.0329,3.2152,0.00013625,0.00013625,0.00013625
20,2149.17,0.87394,0.76324,1.09743,0.36296,0.3239,0.29085,0.08001,2.83189,4.04053,3.24503,7.4375e-05,7.4375e-05,7.4375e-05
