epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2466,1.4717,2.19821,1.37857,0.71682,0.75895,0.74922,0.41475,1.35431,1.03866,1.27826,0.00332839,0.00332839,0.00332839
2,118.159,1.39577,1.28482,1.34511,0.70266,0.79853,0.73817,0.40063,1.37456,1.18693,1.32153,0.00662875,0.00662875,0.00662875
3,175.912,1.46398,1.36591,1.40089,0.62771,0.73353,0.70204,0.38213,1.42088,1.32707,1.43998,0.0098961,0.0098961,0.0098961
4,233.423,1.4791,1.33609,1.44262,0.7393,0.70656,0.7392,0.40557,1.35799,1.16741,1.3711,0.0098515,0.0098515,0.0098515
5,289.463,1.43653,1.24671,1.43429,0.73631,0.71166,0.74728,0.42057,1.28399,1.1787,1.32565,0.009802,0.009802,0.009802
6,345.728,1.40541,1.20419,1.41313,0.71328,0.76693,0.76252,0.42161,1.35432,1.14893,1.38822,0.0097525,0.0097525,0.0097525
7,401.94,1.37699,1.16338,1.4017,0.75394,0.7704,0.78402,0.4477,1.26577,1.05168,1.34058,0.009703,0.009703,0.009703
8,457.925,1.35537,1.11512,1.39163,0.73162,0.80816,0.78856,0.45021,1.28025,1.01975,1.35194,0.0096535,0.0096535,0.0096535
9,514.158,1.35006,1.09471,1.39012,0.73556,0.80807,0.79434,0.44968,1.28254,1.02385,1.3707,0.009604,0.009604,0.009604
10,570.566,1.33119,1.07946,1.38294,0.7482,0.79306,0.81376,0.46829,1.2584,1.0006,1.34495,0.0095545,0.0095545,0.0095545
11,626.758,1.31579,1.04885,1.38795,0.78381,0.81761,0.83329,0.47854,1.23065,0.98956,1.34196,0.009505,0.009505,0.009505
12,683.158,1.30987,1.0491,1.37261,0.79126,0.81671,0.84056,0.48911,1.22876,0.95841,1.30555,0.0094555,0.0094555,0.0094555
13,739.242,1.28406,1.01419,1.34852,0.76638,0.81886,0.81425,0.47942,1.2254,0.9739,1.34087,0.009406,0.009406,0.009406
14,795.315,1.29608,1.0245,1.36703,0.76554,0.83052,0.81815,0.47701,1.23667,0.98503,1.33755,0.0093565,0.0093565,0.0093565
15,851.395,1.29512,1.00486,1.36385,0.75388,0.81256,0.83397,0.49268,1.19824,0.98001,1.32215,0.009307,0.009307,0.009307
16,907.56,1.27506,0.98567,1.34991,0.79963,0.81585,0.83255,0.49189,1.22624,0.94141,1.35447,0.0092575,0.0092575,0.0092575
17,963.988,1.27209,0.96189,1.35074,0.79356,0.82056,0.838,0.48791,1.24028,0.93236,1.33702,0.009208,0.009208,0.009208
18,1020.03,1.25549,0.95658,1.33633,0.77704,0.81172,0.82533,0.49325,1.19244,0.91861,1.27681,0.0091585,0.0091585,0.0091585
19,1076.06,1.24917,0.96696,1.33747,0.76922,0.80309,0.8224,0.48532,1.23216,0.92489,1.36241,0.009109,0.009109,0.009109
20,1132.29,1.25152,0.95015,1.33804,0.79699,0.83529,0.8511,0.51201,1.17486,0.88658,1.31486,0.0090595,0.0090595,0.0090595
21,1188.6,1.25402,0.94004,1.35353,0.79569,0.86998,0.85607,0.50402,1.20703,0.88292,1.32973,0.00901,0.00901,0.00901
22,1244.6,1.24394,0.92984,1.33779,0.80807,0.84138,0.85386,0.51813,1.17407,0.87251,1.31993,0.0089605,0.0089605,0.0089605
23,1300.78,1.24534,0.92963,1.34428,0.78572,0.83863,0.84453,0.51624,1.18604,0.87541,1.30762,0.008911,0.008911,0.008911
24,1356.92,1.24485,0.9256,1.33956,0.77299,0.8252,0.83958,0.51091,1.18087,0.86953,1.31116,0.0088615,0.0088615,0.0088615
25,1412.94,1.23552,0.91733,1.34009,0.79594,0.8426,0.84609,0.51096,1.20198,0.86227,1.34054,0.008812,0.008812,0.008812
26,1468.89,1.22939,0.90751,1.3419,0.79788,0.82193,0.85622,0.52052,1.17708,0.85686,1.29443,0.0087625,0.0087625,0.0087625
27,1525.17,1.22395,0.91329,1.31851,0.79109,0.85309,0.85029,0.51656,1.17592,0.87189,1.2987,0.008713,0.008713,0.008713
28,1581.46,1.20893,0.88816,1.31364,0.79081,0.86492,0.85441,0.51993,1.16765,0.85002,1.30463,0.0086635,0.0086635,0.0086635
29,1637.37,1.22402,0.89177,1.32668,0.81379,0.84062,0.86695,0.52991,1.19371,0.83455,1.33805,0.008614,0.008614,0.008614
30,1693.37,1.22487,0.90092,1.32215,0.7988,0.84811,0.85644,0.52586,1.179,0.83136,1.32626,0.0085645,0.0085645,0.0085645
31,1749.28,1.21461,0.88411,1.32731,0.80257,0.84112,0.85435,0.52722,1.16667,0.83512,1.31046,0.008515,0.008515,0.008515
32,1805.7,1.20566,0.87928,1.31995,0.79623,0.86168,0.85568,0.52541,1.17916,0.83784,1.31496,0.0084655,0.0084655,0.0084655
33,1861.52,1.21369,0.89399,1.3192,0.80753,0.85204,0.86381,0.52728,1.18415,0.82151,1.32297,0.008416,0.008416,0.008416
34,1918.14,1.20413,0.87993,1.31946,0.82187,0.8594,0.85848,0.52495,1.17329,0.81831,1.32263,0.0083665,0.0083665,0.0083665
35,1975.95,1.20582,0.88194,1.30869,0.80969,0.85806,0.8605,0.53647,1.14434,0.82667,1.29402,0.008317,0.008317,0.008317
36,2033.98,1.21309,0.88222,1.32197,0.80951,0.86135,0.869,0.53637,1.16369,0.81604,1.31777,0.0082675,0.0082675,0.0082675
37,2092.13,1.19406,0.86485,1.31165,0.80636,0.84876,0.85628,0.53828,1.14907,0.81951,1.30147,0.008218,0.008218,0.008218
38,2149.94,1.21466,0.8697,1.32561,0.81176,0.86749,0.85939,0.54035,1.1491,0.8081,1.30427,0.0081685,0.0081685,0.0081685
39,2207.87,1.19537,0.84952,1.30576,0.80617,0.86398,0.85939,0.5379,1.1548,0.79845,1.30024,0.008119,0.008119,0.008119
40,2265.56,1.18906,0.84966,1.30756,0.81367,0.85819,0.86281,0.53917,1.14915,0.79987,1.30323,0.0080695,0.0080695,0.0080695
41,2323.42,1.19524,0.8575,1.31036,0.8274,0.86872,0.87407,0.54774,1.14044,0.80064,1.29318,0.00802,0.00802,0.00802
42,2381.58,1.19381,0.8595,1.31055,0.81662,0.85146,0.86159,0.5453,1.13337,0.79868,1.28415,0.0079705,0.0079705,0.0079705
43,2439.27,1.19433,0.85231,1.31277,0.81982,0.861,0.8677,0.5422,1.14057,0.79401,1.29156,0.007921,0.007921,0.007921
44,2496.64,1.19096,0.84217,1.31239,0.81787,0.8688,0.86995,0.55014,1.14788,0.78553,1.30459,0.0078715,0.0078715,0.0078715
45,2554.06,1.18926,0.84357,1.31327,0.82248,0.86306,0.8724,0.54854,1.13814,0.79144,1.29602,0.007822,0.007822,0.007822
46,2611.61,1.18662,0.83225,1.31005,0.81896,0.86824,0.87582,0.54769,1.14997,0.78314,1.2987,0.0077725,0.0077725,0.0077725
47,2669.28,1.19574,0.84104,1.31609,0.82706,0.87485,0.88005,0.55197,1.13672,0.78394,1.29122,0.007723,0.007723,0.007723
48,2726.87,1.20056,0.84663,1.31732,0.81785,0.87745,0.8778,0.55119,1.14685,0.78748,1.30392,0.0076735,0.0076735,0.0076735
49,2784.28,1.1856,0.84451,1.30292,0.81567,0.8631,0.87224,0.55104,1.13674,0.77734,1.29227,0.007624,0.007624,0.007624
50,2841.83,1.17823,0.83018,1.30415,0.81621,0.86819,0.8723,0.54742,1.14276,0.77563,1.29753,0.0075745,0.0075745,0.0075745
51,2899.39,1.17439,0.82967,1.29904,0.81571,0.88568,0.88082,0.55519,1.13625,0.77646,1.29742,0.007525,0.007525,0.007525
52,2957.21,1.1849,0.83271,1.30989,0.82519,0.8819,0.87557,0.55306,1.13038,0.77519,1.2935,0.0074755,0.0074755,0.0074755
53,3014.8,1.17154,0.8239,1.29915,0.82903,0.87442,0.87567,0.55384,1.13227,0.77307,1.29524,0.007426,0.007426,0.007426
