epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.481,1.66562,1.8821,1.40922,0.59152,0.38305,0.3024,0.08564,2.43168,3.1794,2.21123,0.000415896,0.000415896,0.000415896
2,275.993,1.45521,1.22039,1.34503,0.33339,0.35221,0.28691,0.07899,2.54001,3.35443,2.37831,0.000791351,0.000791351,0.000791351
3,377.732,1.40684,1.13063,1.33788,0.34103,0.3733,0.29703,0.07847,2.58367,3.32224,2.36959,0.00112556,0.00112556,0.00112556
4,475.725,1.35022,1.05789,1.30368,0.34397,0.34317,0.2907,0.08194,2.64098,3.43652,2.49864,0.00106437,0.00106437,0.00106437
5,603.554,1.26153,0.97803,1.26187,0.33682,0.32459,0.25667,0.06426,2.69194,3.67988,2.76708,0.0010025,0.0010025,0.0010025
6,732.09,1.23697,0.94624,1.25219,0.3526,0.34819,0.30514,0.083,2.63485,3.59359,2.66282,0.000940625,0.000940625,0.000940625
7,858.334,1.21016,0.91911,1.24999,0.39949,0.37079,0.3377,0.09564,2.58241,3.48368,2.58701,0.00087875,0.00087875,0.00087875
8,939.667,1.16363,0.88227,1.21746,0.36133,0.35765,0.3097,0.08699,2.59948,3.45432,2.61577,0.000816875,0.000816875,0.000816875
9,1014.89,1.14881,0.84845,1.21079,0.37548,0.36395,0.31756,0.09025,2.63906,3.56813,2.81512,0.000755,0.000755,0.000755
10,1090.59,1.11695,0.82565,1.18955,0.37192,0.31675,0.29458,0.08482,2.65667,3.64306,2.71102,0.000693125,0.000693125,0.000693125
11,1166.34,1.02392,0.71721,1.14054,0.35804,0.33028,0.28493,0.07997,2.71742,3.80526,2.75899,0.00063125,0.00063125,0.00063125
12,1240.54,1.01429,0.70112,1.13783,0.41288,0.33868,0.31684,0.089,2.66379,3.55283,2.76539,0.000569375,0.000569375,0.000569375
13,1315.4,0.97747,0.67756,1.12199,0.38468,0.33208,0.30619,0.08792,2.7112,3.65668,2.86859,0.0005075,0.0005075,0.0005075
14,1390.04,0.95809,0.66665,1.11249,0.38229,0.3412,0.31744,0.09084,2.71272,3.72236,2.88361,0.000445625,0.000445625,0.000445625
15,1464.09,0.93526,0.64563,1.09727,0.38764,0.33582,0.30677,0.08637,2.73499,3.84118,2.92036,0.00038375,0.00038375,0.00038375
16,1543.7,0.90807,0.62564,1.08727,0.36496,0.33681,0.29958,0.08379,2.74377,3.77699,2.94983,0.000321875,0.000321875,0.000321875
17,1625.93,0.88744,0.60695,1.07507,0.36735,0.33079,0.3015,0.0858,2.75582,3.89262,2.98492,0.00026,0.00026,0.00026
18,1704,0.86403,0.59729,1.05993,0.37927,0.32135,0.2921,0.08401,2.76195,3.91578,3.03875,0.000198125,0.000198125,0.000198125
19,1778.92,0.84766,0.57421,1.05227,0.38333,0.32834,0.30528,0.0865,2.7688,3.9358,3.02561,0.00013625,0.00013625,0.00013625
20,1853.61,0.82404,0.55965,1.04316,0.37933,0.32076,0.29915,0.08469,2.79556,3.98642,3.07811,7.4375e-05,7.4375e-05,7.4375e-05
