epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.747,1.7226,2.17748,1.48741,0.31409,0.38739,0.29493,0.08913,2.42307,3.08421,2.20597,0.000416184,0.000416184,0.000416184
2,219.884,1.53592,1.48174,1.43646,0.38359,0.39187,0.34131,0.10143,2.5048,3.78658,2.41966,0.000791624,0.000791624,0.000791624
3,321.046,1.46872,1.39028,1.40434,0.32211,0.37234,0.2793,0.0782,2.574,3.59627,2.50651,0.00112581,0.00112581,0.00112581
4,422.068,1.40748,1.28744,1.37319,0.41899,0.38781,0.36462,0.10562,2.48367,3.34137,2.44241,0.00106437,0.00106437,0.00106437
5,521.374,1.33137,1.19987,1.33356,0.35927,0.39277,0.33239,0.09603,2.61383,3.52001,2.66614,0.0010025,0.0010025,0.0010025
6,621.414,1.27111,1.13708,1.29494,0.38407,0.38377,0.34687,0.10074,2.53901,3.30407,2.54539,0.000940625,0.000940625,0.000940625
7,722.653,1.23999,1.09671,1.28067,0.39155,0.39842,0.34437,0.09707,2.60019,3.70887,2.70263,0.00087875,0.00087875,0.00087875
8,819.401,1.19587,1.04434,1.2579,0.41202,0.40038,0.36978,0.11045,2.63221,3.52101,2.67558,0.000816875,0.000816875,0.000816875
9,982.24,1.16355,1.0208,1.23889,0.3466,0.40406,0.33189,0.09305,2.61518,3.60762,2.73697,0.000755,0.000755,0.000755
10,1156.22,1.13754,0.99315,1.22606,0.35577,0.40392,0.3443,0.09913,2.62414,3.36451,2.79817,0.000693125,0.000693125,0.000693125
11,1257.33,1.0528,0.89494,1.18224,0.40255,0.4196,0.37587,0.11418,2.53312,3.34427,2.70834,0.00063125,0.00063125,0.00063125
12,1356.02,1.02707,0.87392,1.16863,0.40563,0.36903,0.34073,0.09391,2.69083,3.7207,2.95213,0.000569375,0.000569375,0.000569375
13,1454.09,1.00054,0.84317,1.14664,0.35164,0.38282,0.32123,0.08913,2.74257,3.7736,2.97985,0.0005075,0.0005075,0.0005075
14,1551.94,0.97129,0.82321,1.13428,0.38338,0.39537,0.35285,0.10198,2.65919,3.58601,2.97348,0.000445625,0.000445625,0.000445625
15,1650.87,0.95001,0.8138,1.12085,0.40127,0.38702,0.34584,0.09801,2.65967,3.73826,3.0196,0.00038375,0.00038375,0.00038375
16,1748.33,0.91963,0.78839,1.10649,0.3702,0.37768,0.32714,0.09197,2.69056,3.79239,3.03443,0.000321875,0.000321875,0.000321875
17,1845.59,0.89785,0.76322,1.09585,0.37937,0.38334,0.33843,0.09578,2.6809,3.83024,3.05485,0.00026,0.00026,0.00026
18,2004.48,0.8756,0.74287,1.07927,0.38612,0.37831,0.33718,0.09441,2.69046,3.85789,3.123,0.000198125,0.000198125,0.000198125
19,2206.04,0.85345,0.72607,1.07094,0.38613,0.37491,0.33052,0.09108,2.72343,4.04779,3.18557,0.00013625,0.00013625,0.00013625
20,2425.86,0.8288,0.70899,1.05484,0.38291,0.38399,0.33537,0.09347,2.69742,3.92744,3.20391,7.4375e-05,7.4375e-05,7.4375e-05
