epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5454,1.41977,0.79167,1.01708,0.65735,0.68735,0.60461,0.1984,2.4903,1.08561,1.50739,0.000405983,0.000405983,0.000405983
2,23.8849,1.35118,0.74106,0.99601,0.6461,0.71658,0.64065,0.2157,2.37649,1.08272,1.42934,0.000781928,0.000781928,0.000781928
3,35.7437,1.31385,0.75556,0.98178,0.62245,0.70601,0.61165,0.2068,2.44893,1.11581,1.48439,0.00111662,0.00111662,0.00111662
4,47.135,1.33066,0.77761,0.98536,0.64124,0.6967,0.63685,0.21393,2.41696,1.17923,1.48278,0.00106437,0.00106437,0.00106437
5,59.1536,1.34855,0.73751,0.98238,0.67932,0.70887,0.6458,0.20355,2.50934,1.09057,1.53501,0.0010025,0.0010025,0.0010025
6,70.6242,1.30059,0.71616,0.97313,0.65326,0.71196,0.63015,0.20678,2.44553,1.06535,1.49041,0.000940625,0.000940625,0.000940625
7,82.2933,1.27271,0.69634,0.96403,0.71144,0.73963,0.68591,0.23368,2.37315,1.04415,1.46139,0.00087875,0.00087875,0.00087875
8,94.2613,1.24501,0.6743,0.96293,0.66138,0.72237,0.64947,0.20976,2.49995,1.05707,1.53227,0.000816875,0.000816875,0.000816875
9,105.405,1.26737,0.66621,0.96197,0.6787,0.7212,0.64635,0.20391,2.49953,1.06456,1.54183,0.000755,0.000755,0.000755
10,117.189,1.23758,0.64963,0.96347,0.66252,0.72262,0.65547,0.2102,2.49502,1.05013,1.52524,0.000693125,0.000693125,0.000693125
11,133.777,1.21127,0.61265,0.95363,0.67041,0.69737,0.63875,0.20813,2.48554,1.04164,1.53179,0.00063125,0.00063125,0.00063125
12,144.386,1.19472,0.60037,0.94347,0.68585,0.71998,0.66151,0.21564,2.48229,1.04267,1.52206,0.000569375,0.000569375,0.000569375
13,156.28,1.18274,0.60289,0.94474,0.68227,0.72025,0.65135,0.21065,2.50493,1.01608,1.54263,0.0005075,0.0005075,0.0005075
14,167.678,1.1985,0.60766,0.94945,0.71542,0.74745,0.69374,0.22314,2.44433,1.04511,1.51151,0.000445625,0.000445625,0.000445625
15,179.132,1.17158,0.58691,0.94506,0.69992,0.73206,0.67921,0.21919,2.47246,1.00686,1.52729,0.00038375,0.00038375,0.00038375
16,190.341,1.15502,0.57525,0.9429,0.67275,0.70082,0.6375,0.20574,2.4913,1.06114,1.528,0.000321875,0.000321875,0.000321875
17,201.72,1.14066,0.5677,0.93,0.71822,0.74863,0.69595,0.22907,2.44873,1.00046,1.52976,0.00026,0.00026,0.00026
18,212.91,1.13566,0.56164,0.92944,0.69843,0.72106,0.67045,0.22259,2.44894,1.01923,1.51586,0.000198125,0.000198125,0.000198125
19,224.375,1.11458,0.54869,0.92694,0.68468,0.70526,0.64824,0.21113,2.47822,1.03022,1.529,0.00013625,0.00013625,0.00013625
20,235.515,1.11002,0.54308,0.92495,0.67498,0.71674,0.65316,0.2093,2.50632,1.04318,1.54648,7.4375e-05,7.4375e-05,7.4375e-05
