epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.983,1.53491,2.17793,1.37499,0.66927,0.76013,0.74882,0.41154,1.32835,1.46562,1.31376,0.00333249,0.00333249,0.00333249
2,666.228,1.51116,1.44061,1.40393,0.6822,0.74218,0.72397,0.40931,1.29614,1.36747,1.34769,0.00663283,0.00663283,0.00663283
3,985.582,1.57861,1.49595,1.50344,0.64197,0.7471,0.71762,0.40186,1.28817,1.49224,1.38466,0.00990016,0.00990016,0.00990016
4,1302.33,1.5672,1.44749,1.52279,0.7093,0.7631,0.76504,0.44123,1.22746,1.43908,1.3499,0.0098515,0.0098515,0.0098515
5,1619.5,1.49527,1.33102,1.47751,0.72016,0.78292,0.77354,0.45497,1.18171,1.38528,1.33224,0.009802,0.009802,0.009802
6,1936.23,1.44402,1.27682,1.46086,0.70724,0.80322,0.78223,0.47353,1.14987,1.38182,1.3108,0.0097525,0.0097525,0.0097525
7,2252.96,1.4454,1.23739,1.46748,0.72831,0.81165,0.79064,0.48201,1.1383,1.42423,1.30019,0.009703,0.009703,0.009703
8,2569.63,1.41981,1.20273,1.45473,0.73079,0.81546,0.79863,0.48997,1.14035,1.35226,1.31447,0.0096535,0.0096535,0.0096535
9,2886.38,1.40975,1.17929,1.44827,0.75437,0.81537,0.81075,0.49844,1.13279,1.33603,1.3099,0.009604,0.009604,0.009604
10,3203.25,1.40734,1.17317,1.44815,0.74795,0.82415,0.80881,0.50409,1.12447,1.3251,1.31002,0.0095545,0.0095545,0.0095545
11,3520.5,1.39702,1.1481,1.45271,0.75286,0.81977,0.81099,0.50696,1.12365,1.33865,1.31636,0.009505,0.009505,0.009505
12,3836.32,1.39665,1.15335,1.4496,0.75582,0.82168,0.8122,0.5107,1.12056,1.29829,1.31165,0.0094555,0.0094555,0.0094555
13,4151.94,1.37981,1.11473,1.44423,0.75587,0.82635,0.81295,0.5115,1.11911,1.29181,1.31263,0.009406,0.009406,0.009406
14,4467.26,1.38167,1.12303,1.43105,0.75345,0.82823,0.81305,0.51198,1.11813,1.29185,1.3116,0.0093565,0.0093565,0.0093565
15,4782.2,1.37225,1.11011,1.442,0.74766,0.83115,0.81453,0.51313,1.1167,1.2888,1.31148,0.009307,0.009307,0.009307
16,5096.96,1.37196,1.09588,1.43821,0.74491,0.83423,0.81554,0.51468,1.11469,1.28333,1.30988,0.0092575,0.0092575,0.0092575
17,5411.28,1.37087,1.09829,1.44755,0.74978,0.83475,0.81739,0.51655,1.11335,1.27792,1.31025,0.009208,0.009208,0.009208
18,5725.6,1.37249,1.09094,1.44627,0.74954,0.83768,0.81773,0.51687,1.11294,1.2822,1.31027,0.0091585,0.0091585,0.0091585
19,6040.68,1.36709,1.06695,1.44142,0.75025,0.83843,0.81823,0.51778,1.11268,1.28278,1.31031,0.009109,0.009109,0.009109
20,6355.83,1.36371,1.07072,1.44528,0.7514,0.83914,0.81954,0.5189,1.11247,1.28146,1.31015,0.0090595,0.0090595,0.0090595
21,6670.76,1.35983,1.06807,1.44835,0.75508,0.83599,0.82195,0.5202,1.11228,1.27637,1.31026,0.00901,0.00901,0.00901
22,6985.75,1.3539,1.05361,1.44175,0.7549,0.83885,0.82276,0.52105,1.11155,1.27257,1.31005,0.0089605,0.0089605,0.0089605
23,7300.6,1.35798,1.05681,1.43952,0.75431,0.84031,0.82273,0.52114,1.1111,1.27244,1.31004,0.008911,0.008911,0.008911
24,7615.29,1.35154,1.0593,1.43573,0.75418,0.84061,0.82305,0.52197,1.11096,1.27264,1.31,0.0088615,0.0088615,0.0088615
25,7930.06,1.34723,1.04846,1.44439,0.75389,0.8408,0.82332,0.52246,1.11112,1.27416,1.31097,0.008812,0.008812,0.008812
26,8244.74,1.34265,1.04405,1.44032,0.754,0.8435,0.82481,0.52312,1.1113,1.27527,1.31169,0.0087625,0.0087625,0.0087625
27,8559.38,1.34817,1.02606,1.45039,0.75485,0.84503,0.82494,0.52384,1.11205,1.27266,1.31354,0.008713,0.008713,0.008713
28,8874.28,1.34976,1.03993,1.44402,0.75505,0.84641,0.82645,0.52523,1.11252,1.27156,1.31441,0.0086635,0.0086635,0.0086635
29,9188.95,1.34905,1.02208,1.44335,0.75823,0.84241,0.8283,0.52587,1.11219,1.27551,1.31459,0.008614,0.008614,0.008614
30,9503.85,1.34714,1.02075,1.44169,0.75828,0.84177,0.82828,0.52606,1.11247,1.27489,1.31587,0.0085645,0.0085645,0.0085645
31,9818.6,1.34011,1.01999,1.43753,0.75834,0.84388,0.82935,0.52659,1.11262,1.27164,1.31663,0.008515,0.008515,0.008515
32,10133.6,1.34529,1.01525,1.44279,0.76021,0.84298,0.83015,0.52676,1.11381,1.27409,1.31812,0.0084655,0.0084655,0.0084655
33,10448.7,1.33636,1.01732,1.43763,0.75885,0.84815,0.83019,0.52731,1.11435,1.27488,1.31975,0.008416,0.008416,0.008416
34,10763.9,1.34479,1.01492,1.44014,0.75851,0.85037,0.82995,0.5281,1.11435,1.27461,1.32003,0.0083665,0.0083665,0.0083665
35,11078.7,1.33558,1.01637,1.43616,0.75609,0.85418,0.82996,0.52851,1.11416,1.27292,1.32055,0.008317,0.008317,0.008317
36,11393.1,1.33924,1.00779,1.44093,0.75729,0.8532,0.83037,0.52903,1.11487,1.27167,1.3219,0.0082675,0.0082675,0.0082675
37,11708.1,1.33578,0.99333,1.44027,0.75698,0.85644,0.83106,0.52939,1.11618,1.2679,1.32307,0.008218,0.008218,0.008218
38,12023,1.34249,1.00796,1.43865,0.75791,0.85808,0.83101,0.53009,1.1163,1.26528,1.3227,0.0081685,0.0081685,0.0081685
39,12338.5,1.33893,1.00547,1.43916,0.75949,0.85923,0.83237,0.53066,1.11646,1.26691,1.32294,0.008119,0.008119,0.008119
40,12653,1.33357,0.99493,1.43217,0.76017,0.86018,0.83228,0.53097,1.11615,1.27258,1.32244,0.0080695,0.0080695,0.0080695
41,12967.9,1.3425,0.99068,1.44468,0.7608,0.85874,0.83241,0.5312,1.11615,1.27258,1.3225,0.00802,0.00802,0.00802
