epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8337,2.11806,3.27983,1.27961,0.41385,0.59992,0.44741,0.14336,2.41191,1.84408,1.45929,0.000409226,0.000409226,0.000409226
2,32.1351,1.67741,1.55126,1.0865,0.54731,0.5852,0.53441,0.16294,2.45622,1.5607,1.48333,0.000785011,0.000785011,0.000785011
3,50.6733,1.67617,1.42493,1.07431,0.47782,0.4764,0.40576,0.12892,2.51762,2.21809,1.45195,0.00111955,0.00111955,0.00111955
4,67.2836,1.60056,1.34144,1.0511,0.60264,0.56005,0.55714,0.18971,2.33033,1.82363,1.45494,0.00106437,0.00106437,0.00106437
5,82.4027,1.55394,1.21314,1.0362,0.57219,0.61063,0.55156,0.17754,2.49389,1.30919,1.48904,0.0010025,0.0010025,0.0010025
6,98.3447,1.48352,1.15174,1.02143,0.56674,0.57456,0.50257,0.16657,2.47137,1.42348,1.49731,0.000940625,0.000940625,0.000940625
7,114.648,1.45534,1.14167,1.0123,0.59127,0.60611,0.56769,0.22062,2.16001,1.66661,1.28924,0.00087875,0.00087875,0.00087875
8,130.343,1.39826,1.09336,0.99878,0.56229,0.61572,0.5746,0.19975,2.33059,1.26659,1.41463,0.000816875,0.000816875,0.000816875
9,146.557,1.40089,1.10531,0.98565,0.52513,0.56138,0.47735,0.16235,2.30208,1.5403,1.36054,0.000755,0.000755,0.000755
10,162.19,1.37032,1.03811,0.98082,0.60433,0.62782,0.57014,0.21314,2.22175,1.23965,1.36267,0.000693125,0.000693125,0.000693125
11,182.136,1.30463,0.97909,0.96643,0.60933,0.64148,0.54981,0.18893,2.34424,1.20844,1.4668,0.00063125,0.00063125,0.00063125
12,197.51,1.28486,0.95883,0.95991,0.63664,0.6763,0.60376,0.2149,2.25646,1.21634,1.38825,0.000569375,0.000569375,0.000569375
13,212.722,1.30812,0.97422,0.97267,0.63706,0.66511,0.58132,0.21507,2.2472,1.29268,1.36965,0.0005075,0.0005075,0.0005075
14,228.014,1.25945,0.90707,0.96143,0.62878,0.68479,0.5838,0.20817,2.29608,1.15271,1.39701,0.000445625,0.000445625,0.000445625
15,243.492,1.24783,0.89887,0.94791,0.61181,0.64285,0.55069,0.20122,2.27104,1.25252,1.37294,0.00038375,0.00038375,0.00038375
16,258.858,1.21698,0.8667,0.93247,0.66454,0.70403,0.61474,0.23302,2.1956,1.09584,1.36008,0.000321875,0.000321875,0.000321875
17,274.301,1.20499,0.8661,0.93914,0.63991,0.64995,0.58132,0.22588,2.19227,1.25691,1.35026,0.00026,0.00026,0.00026
18,289.67,1.19318,0.8528,0.93265,0.63092,0.67598,0.60085,0.23969,2.10037,1.1883,1.30182,0.000198125,0.000198125,0.000198125
19,304.536,1.15633,0.81797,0.93179,0.63893,0.6986,0.61262,0.24205,2.13918,1.13669,1.32248,0.00013625,0.00013625,0.00013625
20,320.151,1.14798,0.81396,0.92256,0.63941,0.68689,0.59572,0.23078,2.16892,1.14856,1.33832,7.4375e-05,7.4375e-05,7.4375e-05
