epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1708,1.44899,0.82161,1.02427,0.61662,0.66107,0.59607,0.19775,2.47151,1.13201,1.50284,0.000408497,0.000408497,0.000408497
2,32.1368,1.3505,0.78493,0.98414,0.6433,0.68247,0.63332,0.21673,2.41061,1.11405,1.46906,0.000784318,0.000784318,0.000784318
3,49.8044,1.37403,0.79457,0.98406,0.66536,0.70353,0.66007,0.22823,2.35587,1.1331,1.4175,0.00111889,0.00111889,0.00111889
4,66.6618,1.37313,0.79617,0.98703,0.67588,0.70372,0.66955,0.23472,2.35272,1.03088,1.43218,0.00106437,0.00106437,0.00106437
5,85.007,1.33824,0.77151,0.9773,0.63712,0.68937,0.65185,0.22686,2.34526,1.15874,1.43938,0.0010025,0.0010025,0.0010025
6,103.626,1.34705,0.7585,0.97252,0.64479,0.69041,0.6479,0.22568,2.36823,1.13385,1.4387,0.000940625,0.000940625,0.000940625
7,121.471,1.30842,0.75606,0.96897,0.66106,0.69633,0.66556,0.23065,2.37571,1.0881,1.46213,0.00087875,0.00087875,0.00087875
8,139.328,1.297,0.74593,0.9682,0.62921,0.66366,0.63503,0.21929,2.39806,1.16254,1.46464,0.000816875,0.000816875,0.000816875
9,157.22,1.29443,0.7201,0.95956,0.66602,0.69779,0.66032,0.22937,2.37954,1.07074,1.47685,0.000755,0.000755,0.000755
10,175.353,1.2586,0.69935,0.95601,0.65624,0.69996,0.65536,0.22502,2.38116,1.08909,1.46122,0.000693125,0.000693125,0.000693125
11,196.788,1.22323,0.67989,0.94225,0.66219,0.66826,0.6416,0.22143,2.37536,1.11012,1.4636,0.00063125,0.00063125,0.00063125
12,211.578,1.2209,0.66881,0.94611,0.62521,0.6468,0.60825,0.20189,2.46376,1.14746,1.50434,0.000569375,0.000569375,0.000569375
13,226.404,1.20769,0.65744,0.94406,0.67452,0.6854,0.65253,0.22543,2.42159,1.08481,1.47344,0.0005075,0.0005075,0.0005075
14,241.114,1.19447,0.66351,0.94134,0.6729,0.6915,0.6565,0.23002,2.39111,1.09275,1.47837,0.000445625,0.000445625,0.000445625
15,256.197,1.18399,0.6427,0.9394,0.67444,0.69486,0.65761,0.2288,2.3882,1.10072,1.46867,0.00038375,0.00038375,0.00038375
16,270.598,1.17259,0.63299,0.92769,0.68084,0.6905,0.65121,0.22492,2.40179,1.08469,1.47872,0.000321875,0.000321875,0.000321875
17,285.545,1.16524,0.62207,0.92797,0.65982,0.66096,0.62113,0.20863,2.48063,1.11713,1.54391,0.00026,0.00026,0.00026
18,300.088,1.15416,0.62063,0.92807,0.66757,0.69764,0.64553,0.22282,2.40982,1.05783,1.49023,0.000198125,0.000198125,0.000198125
19,315.462,1.14237,0.60952,0.92439,0.66939,0.67668,0.64511,0.22134,2.42569,1.10554,1.50744,0.00013625,0.00013625,0.00013625
20,330.005,1.13717,0.60103,0.92618,0.67156,0.67742,0.64233,0.22024,2.43824,1.07749,1.51023,7.4375e-05,7.4375e-05,7.4375e-05
